date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:19	757583/757583	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/js/trog_edit__zh_tw.js	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/js/trog_edit__zh_tw.js	(from http://www.icme2014.org/)
15:45:19	44/44	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202011%2003:00:23%20GMT	http://ssl.gstatic.com/editor/bubble2_tr.gif	C:/Users/mmLab/Desktop/ICME2014_20140212/ssl.gstatic.com/editor/bubble2_tr.gif	(from http://www.gstatic.com/sites/p/0c14db/system/app/css/trogedit.css)
15:45:20	13113/13113	---M--	200	added ('OK')	image/gif	date:Wed,%2012%20Feb%202014%2007:45:28%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/toolbar-check.gif	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/toolbar-check.gif	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:20	6902/6902	---M--	200	added ('OK')	image/gif	date:Wed,%2012%20Feb%202014%2007:45:29%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/toolbar2.gif	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/toolbar2.gif	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:21	837/837	---M--	200	added ('OK')	image/gif	date:Wed,%2012%20Feb%202014%2007:45:29%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/formatblock-menu-icons.gif	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/formatblock-menu-icons.gif	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:21	259/259	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202014%2007:45:29%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/icon-help-kennedy.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/icon-help-kennedy.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:22	25367/25367	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202014%2007:45:30%20GMT	http://www.icme2014.org/site/sites/system/app/images/icon_plusone.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/site/sites/system/app/images/icon_plusone.37.delayed	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:23	25368/25368	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202014%2007:45:31%20GMT	http://www.icme2014.org/site/sites/system/app/images/plusbadge.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/site/sites/system/app/images/plusbadge.38.delayed	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:23	2025/2025	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2019:52:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-64.png	C:/Users/mmLab/Desktop/ICME2014_20140212/ssl.gstatic.com/images/icons/gplus-64.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:23	968/968	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2019:52:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-32.png	C:/Users/mmLab/Desktop/ICME2014_20140212/ssl.gstatic.com/images/icons/gplus-32.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:24	492/492	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2019:52:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-16.png	C:/Users/mmLab/Desktop/ICME2014_20140212/ssl.gstatic.com/images/icons/gplus-16.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css)
15:45:24	6130/6130	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202014%2007:45:32%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/command.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/command.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/camelot/editor-jfk.css)
15:45:24	105/105	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Apr%202012%2000:13:23%20GMT	http://ssl.gstatic.com/ui/v1/menu/checkmark-partial.png	C:/Users/mmLab/Desktop/ICME2014_20140212/ssl.gstatic.com/ui/v1/menu/checkmark-partial.png	(from http://www.gstatic.com/sites/p/0c14db/system/app/themes/solitudenavy/standard-css-solitudenavy-ltr-ltr.css)
15:45:25	3555/3555	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202014%2007:45:33%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/images/camelot.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/images/camelot.png	(from http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/camelot/allthemes-view.css)
15:45:26	28777/28777	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Feb%202014%2007:17:24%20GMT	http://www.icme2014.org/home	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/home.html	(from http://www.icme2014.org/organizing-committee)
15:45:26	561/561	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2012%20Feb%202014%2007:45:34%20GMT	http://www.icme2014.org/ICME2014-call-for-papers.pdf?attredirects=0	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/ICME2014-call-for-papers.406fb5.delayed	(from http://www.icme2014.org/call-for-papers)
15:45:27	22095/22095	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202014%2007:45:35%20GMT	http://www.icme2014.org/_/rsrc/1385700645080/keynotes/Gaowen.jpg?height=200&width=145	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1385700645080/keynotes/Gaowencabd.jpg	(from http://www.icme2014.org/keynotes)
15:45:27	5816/5816	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202014%2007:45:35%20GMT	http://www.icme2014.org/_/rsrc/1391814549442/keynotes/zhang2009.jpg?height=200&width=160	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391814549442/keynotes/zhang200993a7.jpg	(from http://www.icme2014.org/keynotes)
15:45:27	637/637	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2012%20Feb%202014%2007:45:36%20GMT	http://www.icme2014.org/call-for-grand-challenges/Template_for_GrandChallenge.docx?attredirects=0	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/call-for-grand-challenges/Template_for_GrandChallenge.436fb5.delayed	(from http://www.icme2014.org/call-for-grand-challenges)
15:45:28	597/597	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2012%20Feb%202014%2007:45:36%20GMT	http://www.icme2014.org/msr-bing-image-retrieval-challenge/dataset.png?attredirects=0	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/msr-bing-image-retrieval-challenge/dataset.446fb5.delayed	(from http://www.icme2014.org/msr-bing-image-retrieval-challenge)
